0,1,56433,0,0,625,1,0
0,3,3339,0,0,1242,1,0
0,4,7749,0,0,315,1,0
0,5,6336,0,0,1268,1,0
0,6,45854,0,0,1062,1,0
1,0,28626,0,0,204,1,0
1,3,32893,0,0,574,1,0
1,4,54024,0,0,306,1,0
1,5,40920,0,0,656,1,0
1,6,13471,0,0,1007,1,0
2,3,11080,0,0,1020,1,0
2,4,11907,0,0,1328,1,0
2,5,46529,0,0,862,1,0
2,6,52785,0,0,327,1,0
3,0,48530,0,0,401,1,0
3,2,50287,0,0,549,1,0
3,4,13701,0,0,730,1,0
3,6,2505,0,0,1317,1,0
4,0,13169,0,0,1430,1,0
4,1,35995,0,0,1406,1,0
4,3,25837,0,0,369,1,0
4,6,21406,0,0,1122,1,0
5,0,5762,0,0,1278,1,0
5,1,30194,0,0,366,1,0
5,2,28644,0,0,1094,1,0
5,4,42083,0,0,857,1,0
5,6,33325,0,0,1049,1,0
6,1,4602,0,0,102,1,0
6,2,41719,0,0,783,1,0
6,3,57340,0,0,1180,1,0
6,4,11803,0,0,809,1,0
6,5,20260,0,0,434,1,0
