0,1,5084,0,0,874,1,0
0,2,2545,0,0,821,1,0
0,3,3558,0,0,197,1,0
0,4,5949,0,0,1411,1,0
0,5,11823,0,0,954,1,0
0,6,6050,0,0,828,1,0
1,0,8501,0,0,851,1,0
1,2,3748,0,0,720,1,0
1,3,5320,0,0,939,1,0
1,4,31173,0,0,1161,1,0
1,5,20417,0,0,989,1,0
1,6,12616,0,0,838,1,0
2,0,8306,0,0,634,1,0
2,1,4674,0,0,168,1,0
2,3,9124,0,0,1261,1,0
2,4,3399,0,0,1030,1,0
2,5,3436,0,0,954,1,0
2,6,2215,0,0,868,1,0
3,0,44028,0,0,1185,1,0
3,1,2009,0,0,773,1,0
3,2,6833,0,0,478,1,0
3,4,3397,0,0,399,1,0
3,5,5271,0,0,960,1,0
3,6,1832,0,0,713,1,0
4,0,7636,0,0,135,1,0
4,1,19884,0,0,1341,1,0
4,2,4988,0,0,645,1,0
4,3,15082,0,0,224,1,0
4,5,9110,0,0,1015,1,0
4,6,15299,0,0,100,1,0
5,0,3336,0,0,867,1,0
5,1,14753,0,0,1349,1,0
5,2,4337,0,0,1300,1,0
5,3,50156,0,0,914,1,0
5,4,10607,0,0,609,1,0
5,6,46176,0,0,614,1,0
6,0,9692,0,0,326,1,0
6,1,22513,0,0,1059,1,0
6,2,8719,0,0,1096,1,0
6,3,6365,0,0,231,1,0
6,4,3885,0,0,1119,1,0
6,5,15272,0,0,1319,1,0
